Link: https://yugioh.fandom.com/wiki/Yu-Gi-Oh!_BAM/Transcript

Contents 
 
 1   Series 1 - Alba Litora 
 It ain't over till it's over!
 Don't tell me you had no idea this was coming!
 There's too many of us for you to handle!
 Whoa! You startled me! To be honest, I was kinda hoping you wouldn't make it this far... Er, now we duel, right?
 I've had enough of you!
 It ain't over till it's over!
 
 Series 2 - Tropica City 
 1. Tropica-Bound 
 
 Story 
 A secret message let on that the Organizer could be in Tropica City. So, you pack your bags, get your decks ready, rent a bike and shred along the Tropica Highway. At one point, a strange man with orange hair pulls you over. As he's getting off his chopper, he introduces himself as Hunter Pace and challenges you to a duel. You happily oblige him! Time to see what the locals are made of!
 With a mocking smile, you get back on your bike and make for the capital city. As you're burning rubber on the highway, you spot a sign stating "Series 2 cards only". 
 
 Duel 
 New in town, are we? Well, kiddo, let's roll! Think you can handle my Evoltiles? 
 I'm the one and only master of the highway! My boys Evoltiles will boost the other Level 1 Monsters on my team. Fast Lane team, son. Represent!
 What are you doing with Series 1 cards? That's SO last year! Hah!
 Man, I'd love to race you! You've the spirit of a true biker!
 Gosh, you don't let go easy, kiddo. Okay, start your engine! 
 What are you doin' in my pit stop? Alright, then; let's duel!
 Alright, I've had it! You're spinning my wheels, man! Face my Evolsaur Darwino!
 Evoltiles and Evolsaurs make a great team! Bring it on, son!
 
 2. A Friend's Past 
 
 Story 
 You had barely set foot in Tropica City that Yusei had invited you to train with him. It'll do you good to stretch your legs a bit! Maybe he can help you to find some information about the Organizer.
 The door swings loudly. Hunter, the guy with the orange hair, steps in followed by another Tropica City citizen. Yusei frowns and whispers Jack. You have no idea what's going on, but you know that your friend is not happy right now. Before you can even get a word out, Hunter challenges you.
 After the duel, you ask him if he knows anything about the Organizer. Jack stands up, smiling. You get the sudden realization that he wasn't playing seriously. He grabs his bag and walks out without answering. You haven't seen the last of him; you can feel it in your guts.
 Hunter tells you he has no idea who this Organizer is. Next time you two meet, he says, you're finishing second. Eat my dust, he says as he leaves.
 
 Duel 
 Ah! You're here! Wanna duel before my next round of push-ups? But I'm warning you: I will cripple you with my Gusto Winged Beasts!
 You haven't lost your touch! I'm impressed; you can deal with Series 2 cards as well as with Series 1.
 I've got my Gusto Griffin and my Gusto Thunbolt. Don't try to get your Even Level Monsters Immune!
 Revenge will be mine! Get ready, kiddo; you're about to learn the true meaning of suffering at the hands of Reptiles and Dinosaurs!
 I'm Jack. I just defeated Yusei. Pretty easily, too. Choose your deck carefully because I'm using my Watt Monsters. Their abilities vary, so be ready for anything!
 Not bad. I'm not impressed, though. I hope your Monsters are above Level 4, because I'll be using my Wattaildragon. Ready?
 Pfff. Alright, you've got something going. I'm intrigued. Ever heard of Empathy? Well, some Watt Monsters specialize in that art.
 Tell you what: I'll let you take two Spell Cards from my bag if you defeat my Thunder deck. 
 Four Evolsaurs, four Evolution Pills... You're out of luck, man!
 I'll deplete your Life Points faster than my bike can go from zero to sixty with endless Reptiles charges!
 
 2.1 Power of Friendship 
 
 Story 
 Yugi and Yusei want to show you a new type of card: the Friendship Cards! They'd like you to practice with B!-Ts first. Yugi and Yusei will set the difficulty level for you.
 The more friends you have, the stronger the Friendship Cards get. It's time to make new friends!
 
 Duel 
 Difficulty Level: 01 Friend - Win duel to proceed.
 Difficulty Level: 02 Friends - Win duel to proceed.
 Difficulty Level: 04 Friends - Win duel to proceed.
 Difficulty Level: 05 Friends - Win duel to proceed.
 Difficulty Level: 05 Friends - Win duel to proceed.
 As expected, you're doing great. Let's see how you fare against my Dragunity Darkspear!
 Difficulty Level: 04 Friends - Win duel to proceed.
 Difficulty Level: 06 Friends - Win duel to proceed.
 I've got more than 5 friends. What will you do now?
 Difficulty Level: ERROR
 Difficulty Level: 07 Friends - Win duel to proceed.
 I made some changes. This deck is sure to cripple you!
 Difficulty Level: 08 Friends - Win duel to proceed.
 Dragunity cards have powerful Friendship effects. Allow me to show you the Felgrand Dragon!
 I've added a little something to my deck: the Dark Magician Girl!
 If I tell you I have 15 friends, do you think you can beat me?
 
 2.2 Duelist Training Center 
 Story 
 You will face decks created by other duelists. All decks contain: -Series 1 and 2 cards. -1 Monster type only. -A minimum of 2 Spells. Can you beat every deck?
 Congratulations! Your training is done.
 
 Duel 
 Win duel to proceed.
 Win duel to proceed.
 Win duel to proceed.
 
 3. Books and Duels 
 
 Story 
 After what happened at the gym, you decide to head to the Tropica City Library. It's probably the best place to start looking for clues about the Organizer. After a few hours of research, a silver-haired young man approaches you and politely asks you to duel. Glad for the distraction, you graciously accept his offer. You both head up to the recreational section of the building. Bakura is a very nice young man. But there's something odd about him. You just can't put your finger on it...
 Just as you're about to hit the books again, you hear someone calling your name in a rude and unfriendly tone. You turn around and see this timid boy staring at you. He reminds you of someone...
 You're very tired and want nothing more than to hit the sheets and grab some Z's. Just as you're leaving the library, you see Bakura waiting  for you. Something's very wrong with him. As you approach, you notice a difference in his bearing. 
 You wonder what's wrong with Bakura. He was so kind and friendly the first time you met, and now... It's like he's a totally different person! What's going on?!
 
 Duel 
 Don't use too many Monsters. My Naturia Monsters are pretty shy, and I couldn't bear it if something were to happen to them.
 Some Naturia Monsters can heal themselves when the Opponent's Monsters are weakened, and some of them grow very, very fast!
 Difficulty Level: 10 Friends - Win duel to proceed.
 Difficulty Level: 19 Friends - Win duel to proceed.
 If your Monsters gain power, mine will too! These Naturia are so beautiful. They're my favorite!
 I... I... Leave my Naturia in peace once and for all!
 Win duel to proceed.
 Let me show you how strong my Crystal Beasts are!
 I'll become stronger than my brother Seto and I'll beat you! My Crystal Beasts will also get more powerful. Get ready!
 Arrrgh! No way you could've beaten my brother without cheating. He's stronger than you. He's the best! My Amber Mammoth will trample you and grind your bones to dust!!!
 There's no escape from this fight. I'll defeat you and bring peace to the world.
 There's nothing can you do against Immuned Monsters and the power of the Megarock Dragon! You will perish!
 Let's see how you deal with my Guardians! There WILL be peace, even if I have to destroy everything in this world.
 
 4. New Friend, New Foe 
 
 Story 
 Now that you're done with the Tropica City Library, you decide to take a break and visit the town. The city is still unfamiliar, and it's not long before you're lost, finding yourself in a cemetery of all places. All of a sudden, you hear yells and angry screams. This feels ominous.
 Just like you, Jaden is on a mission. He is hunting the Cavaliers, who have kidnapped his friends and cursed him. He's chasing a man called Amnael. Perhaps you could join forces: help him find Amnael and he might help you finding the Organizer.
 This Amnael character sure is a challenge, easily stunning Jaden and ambushing you without warning. Just as you're about to defeat him, he escapes. One thing is for certain: it's not the last time you'll fight him!
 There is danger in the silence of Amnael! The Cavaliers need to be stopped no matter the cost. Why does making friends always seems to mean taking on new enemies?
 
 Duel 
 You! Stop right there! Are you one of the Cavaliers? I'll defeat you with my Elemental HEROs!
 give me your souls ...
 Next time, he won't be able to beat me like that! Look at how many Life Points I've got now!
 I'm now immune to everything and I'll be able to destroy all of his spells.
 ... you can't escape the pain ...
 The souls I've captured make my monsters stronger every time I duel!
 Will this deck be strong enough for the Cavaliers? When my monsters' power increases, it gives me Life Points!
 ... need souls ...
 Next time I see Amnael, I'll keep my Life Points up by constantly healing myself. He won't be able to beat me.
 ... I feel powerful again ...
 Let me try this deck against you! Be careful, each time you destroy one of my monsters, you'll trigger a counter-effect.
 ... the voice! I need to silence the voice!
 Check this out! You've never seen monsters gain that much power so quickly.
 I can destroy all their spells. And even if I fail to do so, my monsters are immune. They're done for.
 ... I WILL write your souls in my book ...
 ... shock
 
 5. Spirituality 
 
 Story 
 You get to the temple before Yugi. While you wait, you decide to explore the premises. There are several statues of people you don't know. When Yugi gets there, you ask him about the temple. He says that if you win a few duels against him, he'll tell you more about it.
 Yugi explains that the statues represents ancient entities called Channelers. They were an ancient race of god-like beings. By the look on Yugi's face, you know you'll have to duel him again to know more!
 According to legend, the temple was a neutral ground where Channelers convened and dueled against one another. Their dueling abilities were far beyond those of mortal men.
 Just before entering the temple, you remember that Yugi wanted to talk to you about The Organizer. He has learned that this 'man' gains power by winning duels. The more people he duels, the mightier he becomes. If that's true, dueling him will only make him stronger!
 As you enter the temple, you are attacked by two young duelists you've never seen before. What are they doing there? Were they waiting for you?
 As you go deeper into the temple, they keep attacking you. What do they want? What are they after?
 You ask Yugi why he wanted to talk about the Organizer here? Are the temple and The Organizer related in some way? He tells you that there is a link between this place and The Organizer, but he doesn't know what it is. He was hoping to learn more by exploring the temple.
 
 Duel 
 I know a few things about this place. I'll tell you what you want to know... IF you beat my Gishki deck.
 Nicely done! Now let me try this special Water deck. You might be in for a surprise!
 People tend to forget about old strategies. Let me show you that an Empathy deck can still be formidable.
 You know, you're really good at this. Let me show you how powerful it is to control your inner rage.
 When warriors synergize well, they become very hard to stop!
 Aren't you tired after climbing these stairs? Especially since you're crippled?
 The temple entrance. After you... No, wait! I'll be the first to strike!
 Stop right there, weaklings! Good. Keep obeying and you'll be just fine! Now, Give us everything you have!
 Pfffft! I went easy on you, there. I wished to test your strength. Now feel my outstanding and mighty power!
 That wasn't fair! There were two of you and one of me! AAARRGHH I'll show you how strong I really am! And don't cheat, this time!
 Calm down, Weevil. Let my plants handle this. I'm sure you can't even beat plants!
 I see... Now's your chance to hand over your cards and run. Otherwise, my fairies will crush you!
 Now you've done it! I'll show you what a true underworld duelist is made of! You don't stand a chance when dark and light monsters fight together!
 
 6. A Very Dark Night 
 
 Story 
 A riot in Tropica City Prison? That's no good! Maybe you can help. Who knows? I could bring you closer to the Organizer.
 There's chaos everywhere! Did you arrive too late to stop the rioters from escaping? Let's dive in and find out!
 It's Devack! Devack is behind the prison break! And if he's here, Roman must not be far!
 There are just too many to stop! Time for another strategy. This is too big for Roman and Devack alone. Let's follow them and find out who else is pulling the strings.
 
 Duel 
 We're in prison because of you! Now it's payback time! I'll wipe you out!
 Stop right there! I want my revenge. My overpowered machines will crush you!
 I'm not done with you yet! This time, I'll cripple your monsters while mine get stronger!
 I'll destroy each and every one of your monsters and watch you suffer!
 Welcome pawn! You fell into our trap! We'll espace  [ sic ]  this prison and destroy you in the process. You can't defeat me; my monsters always come back!
 It appears I must crush you myself! Go ahead, destroy my monsters! Yours will follow them in death. Difference is, mine will come back!
 AARRGGHH! I'm so angry right now! Feel my rage!
 No monster will survive my attacks!
 Your attacks won't make a scratch on my gigantic supply of Life Points.
 I'll leave you crippled and helpless as I escape prison.
 You cannot challenge the supremacy of my machines! Taste the metal!
 When my machines are destroyed, I repair them and get them back on the Field! You are powerless against that.
 I'll just destroy all of your monsters over and over and over!
 Every monster you destroy will bring you closer to your doom!
 You think you can win just by destroying my monsters? You are so naive. They'll come back to hurt you everytime.
 
 6.1 A New Darkness 
 
 Story 
 Chasing the Ghouls has led you to an abandoned district in Tropica City. No sooner have you set foot in the zone that you are ambushed by a Ghoul. Get ready to duel!
 Roman appears to be controlling a bunch of civilians with his Neuro-Needles. As you search the area, you spot Crow with two Ghouls. As soon as they spot you, they set upon you with evil intent!
 This madness has to stop! People you know and care about have fallen under the sway of this poisonous influence. Just when you thought you were safe, Yusei, Akiza and...one of Tropica City's renowned top models surround you. Fight back and try to snap them out of their dominated daze!
 Her name is Misty Tredwell, and she claims that you killed her brother. Clearly she's under the effect of Roman's Neuro-Needles.
 As your are wandering the streets of the abandoned district, a sharp sound interrupts your search. You turn just in time to see a bird fall to the ground, a needle sticking out of its wing. A needle obviously meant for you. Looking up, you see Roman grinning darkly...
 
 Duel 
 You will pay with your life for imprisoning us!
 Must... Destroy... Everything!
 Pathetic... I'll show you how powerful I am!
 YOU! Your life ends now!
 You killed my brother, and I will avenge him!
 The boss will be pleased if I take you to him.
 You're persistent, I'll give you that...
 I'll destroy these ruins if I have to, but I WILL put you down once and for all!
 Can you guess from where my monsters will attack?
 I'll burn everything!!!
 Mmph! Pitiful, how weak some Ghouls are. But you're facing a true duelist now!
 AAARRRGGGH!!! I... Don't... Want... To... Errrr!
 My monsters are growing stronger, and so am I! Your little adventure ends here.
 I can destroy everything you know and love, and as many times as I need to!
 I swear I will destroy you for what you've done to my brother, even if it means hurting my own monsters!
 I can't lose. I must stop you.
 
 6.2 Against Their Will 
 
 Story 
 Almost all the Ghouls have been defeated. There are still some of them on the run. Surrounded by Joey, Seto, Yugi and Marik, you keep searching. But something is wrong with them.  Has Roman's Neuro-Needles hit once more?
 Joey is defeated, let's hope he won't hold a grudge against you. But this mind-control he was under, it was NOT Roman's Neuro-Needles... What's happening?
 Seto is a tough opponent, but he's finally down! He dueled in a way you've never seen him fight before. It's more than just him turning against you...
 Yugi gave you a hard time, but you finally stopped him. His duel tactics were very different from usual. Is it really Yugi in there?
 You are completely exhausted and Marik escaped! He was so strong but in a strange way, like somebody else was fighting in his stead.
 
 Duel 
 The angrier I get, the stronger my monsters are.
 ARGH! You're not gonna put me down that easily.
 I'm not done with you! 
 I feel the rage flowing!
 I'm gonna crush your mind....Arrrgh... Get out of my head!!!  Arrrgh...  It is futile to resist!
 I'll completely drain your life away.
 Aren't you afraid that every monster you hold dear will be destroyed?
 I'll give you a parting gift that you will remember for a long time!
 Your fear is bestowing my monsters so much power.
 ... It ends here ...
 ... I feel so much life and power!
 So easy to control, just like machines!
 IT'S THE LAST TIME YOU'LL SEE LIGHT!
 Does my presence shock you?
 Seeing you suffer is so much fun, let's see how THIS will hurt you.
 There's definitely FEAR in you and you look so lost. You will succumb to fear. This is true power!
 
 6.3 
 Story 
 The last Ghoul you beat revealed Devack's location. Time to stop him once and for all!
 Once Yusei has shaken free from Roman's venom, Devack and Roman are put behind bars. But there are still Ghouls on the run, and one person standing between you and them: Misty. She no longer seems under the Neuro-Needle's influence, but she firmly believes that you murdered her brother. Duel her to prove your innocence!
 
 7. Silent Crypt 
 
 Story 
 Akiza and Crow, two trustworthy friends, have offered to accompany you. You decide to duel for a bit before entering the ruins.
 After a relaxing bout of dueling, you enter the ruins. You have barely set foot inside that you are assailed by Shadows!
 You venture further in the ruins with Akiza and Crow. It's like a maze in there, and you are beset by Shadows on more than one occasion.
 What's going on!? Why are these Shadows attacking you? Suddenly, everything starts shaking! Amidst the chaos, you lose sight of Akiza and Crow.
 You are now alone in the ruins, and the path to the exit is blocked by rubbles. You have no other choice but to keep going deeper into the ruins.
 
 Duel 
 Let's see how you handle my gifts.
 That didn't work out so well... I'll steal Power from your Monsters, then!
 Steal my Monsters' Power and you won't see what's coming.
 Hurt me, and my Monsters will feel it... You might even feel it too.
 With this deck, I'll put you in a world of never-ending hurt!
 I love sacrificing my Monsters when I know they'll come back.
 Even when destroyed, Spells holds much power!
 Every Monster I sacrifice will make me stronger, and you weaker.
 These Dragons can't be destroyed, and they'll be the first to strike!
 Let me show you the true power of Light by destroying all Dark Monsters.
 These low-level Monsters will grow quickly and destroy all your Spells!
 Constellar Monsters synergize so well. They can Shock, Boost, Cripple, and even Resurrect Monsters and Spells!
 The Hieratic Dragons of Eset and Nebthet are similar, and yet so different.
 Controlling Spells can be extremely powerful. Here, let me show you a little something...
 I hate Spells so much. Don't even think about casting one!
 
 7.1 Peaceful Confusion 
 
 Story 
 As you venture deeper into the ruins, you see some light. Daylight! A door! You've found the exit! As you're approaching the door, the floor collapses under your feet and you fall into a dark room. You barely manage to get your breath back that Shadows assault you again!
 You're stuck in those ruins again... It's like a maze down there. You have to get out of this treacherous place as fast as possible!
 Despair engulfs you as you start thinking you'll never get out of there!
 You enter a strange looking room. You feel so peaceful in there, too much peaceful...
 Even being attacked does not disturb you! What's going on?! Are you losing your mind!?
 
 Duel 
 You can't escape your fate.
 Come with us!
 These monsters gain power while your lifeforce ebbs aways!
 Even in this place, no darkness can resist the Photon Slasher.
 My monsters feel my pain, and so will you.
 You don't know what you've gotten yourself into...
 There's nothing you can do. Your spells won't even work.
 The light is powerful, go to it!
 Accept my gifts and come with us.
 No spell will help you now.
 Annihilate the darkness in you and accept the light.
 
 7.2 Divine Terror 
 Story 
 During the Shadows' unreleting  [ sic ]  onslaught, you mysteriously find yourself in another place...an eerily disturbing place! Maybe you HAVE lost your mind after all...
 Strangely, the Shadows look different here. They don't seem that dangerous...
 The Divine cards... Are they THAT powerful? How can they help you get out of here?
 It look likes the Shadows want to help you in some way... But why? And to what end?
 The Organizer is manipulating you?! The Channelers will return to help you or destroy everything? What's this nonsense?! Just as you're about to battle more Shadows, you black out!
 
 Duel 
 There is always a way to become stronger.
 Do not fear this place. You chose to be here. It is your doing.
 This is so sad... You can't even wake up.
 Even if I am a Shadow, I will use light monsters to guide you.
 I fight darkness with my light monsters. What are you fighting? Do you know what you're up against?
 Even in death, my monsters remain fearsome.
 I control Beast-Warrior. Do not let the Organizer control you!
 I've got so many life points... And I always want more!
 Boost, boost, boost! More and more power, nonstop!
 Be like my Warriors. Fight back!
 Spellcasters always need - and want - more power. They can even kill their own kind for it!
 Listen carefully: You must wake the Channelers; it's the only way you'll get out of here. But be careful; they also want to get out and live again! You must not let that happen... at any cost!
 
 8. Qualifications 
 Story 
 There's quite a crowd! The first thing to do is find a B!T and register for the qualifications. Once you're registered, you'll be matched with a random opponent.
 Your first opponent is Mokuba.
 Your second opponent is Weevil.
 Your third opponent is Bakura.
 Joey is your last opponent. The winner will move on directly to the quarterfinals!
 You have secured a place in the quarter finals!
 
 Duel 
 Win a duel to proceed. You will be matched against a worthy opponent.
 I'll be your first opponent. And you can bet that I'll be your last!
 This time, no matter what happens, my monsters will gain power!
 No way I'm letting you win that easy. My beasts will crush you!
 Win a duel to proceed. You will be matched against a worthy opponent. 
 Hahaha! Are you kidding me? YOU'RE my opponent? Oh, this'll be like taking candy from a baby!
 Hmph! I let you win last time... Now my insects will feed on your flesh!
 All right, I've had enough of you! My Insect Queen will grind you into dust!
 Win a duel to proceed. You will be matched against a worthy opponent. 
 This duel is gonna be so much fun! Go easy on my plants, would you?
 Wow! You're strong. I'll have to use a better plant deck this time.
 You're gonna have a hard time against this rock deck.
 You afraid of water? Heh, you should be!
 I'll be the one going to the quarterfinals. You're no match for my Spellcaster deck.
 My Machine deck will be the last one you face in this tournament!
 
 Tutorial 
 To make a Fusion, you first need a Fusion Monster. Notice the icon over your Naturia Beast monster, that indicates this is a Fusion Monster. Drag it on the field in the first channel. Now hit BAM.
 The Fusion Monster card tells you what card it needs to make a Fusion. In this particular case, you need a Beats Monster. two of your cards are Beast Monsters! Drag one of hem directly on top of Naturia Beast, and the other on the empty channel. Don't forget to place the Spell!
 Notice that if you tap the Fusion icon, you can see the monster that will be created by the Fusion. The Fusion only occurs when you hit BAM.
 Every successful Fusion triggers a special effect.In this case, you are healed by 2400 Life Points!
 You can play all cards involved in a Fusion on the same turn! Think you can get out of this predicament with  Fusion? Choose your cards wisely and hit BAM.
 When a Fusion Monster is destroyed, both cards used in the Fusion are sent to the Graveyard. Well, that's it for Fusion Monsters! Enjoy your new Fusion card and its amazing effects!
 
 8.1 Quarterfinals 
 Story 
 Congratulation you have reached the quarter finals! Get ready for your next opponent, Jack.
 Wow! That was impressive! Let's see if you will do as well against Akiza.
 You might make your way through the quarter finals. But it's not done yet! You must now face Crow and his fusion cards.
 Your last opponent in the quarter finals is Misty. Let's see if you are good enough to reach the semifinals.
 You impressed a lot of people with your last matches! You earned your pass for the semifinals!
 
 Duel 
 I'm home here in Tropica City. I'm not going to let you win in front of my fans!
 You don't stand a chance against my deck. I'm going to show everyone that I'm the best!
 Your luck stops here. This deck I have is so well made it can't be beaten!
 I'm happy that I made it all the way to the quarter finals! I hope to go even further in this competition.
 My water monsters have always saved me!
 I'm proud of what I've done in this competition, but I'm not ready to give up yet!
 My fusion cards will lead me to the semifinal of this tournament!
 The beasts I am going to use are so powerful! I'm curious to see you dealing with a Naturia Beast!
 It's getting serious now! I have no choice but using my dragons!
 These sea serpents hail from the abyss. I really don't see how you can hope to prevail!/All these sea serpents taken from the abyss. I really don't see how you are gonna make it!
 Not all sea monsters are pretty, but I can live with that!/Not all the monsters from the sea are pretty, but I can compromise!
 Ok you won the first rounds, but don't be too excited. I'm going to cripple your monsters to oblivion!
 
 8.2 Semifinals 
 Story 
 Congratulations! You have reached the semifinals! Seto is waiting for you.
 Once more, you have proved your skills! Will you do as well against Rex?
 You must be a great player! You won against Mai and her Psychic monsters!
 Nothing can stop you! You've made it to the finals!
 
 Duel 
 Ok, you're getting annoying! I'm getting rid of you!
 Well played, but I haven't said my last word!
 
 9. The Underworld 
 Story 
 Be careful! There are a lot of illegal duelists down there.
 Congratulations! Defeating Weevil was no walk in the park!
 It looks like Rex's brute force wasn't enough to stop you!
 You prevailed against B!T Lv3 and its necro arsenal!
 Wow! You withstood that B!T Lv3's awesome firepower!
 
 Duel 
 INTRUDER ALERT! INTRUDER ALERT!
 You may have dealt with the B!T Lv1, but now it's a whole new ballgame!
 Let's finish this! I'm getting tired of looking at that ugly mug of yours.
 INTRUDER ALERT! INTRUDER ALERT!
 I knew I couldn't count on that B!T Lv1 to stop you.
 Even though it's not my style, I'll have to play smart if I wanna beat you.
 INTRUDER ALERT! INTRUDER ALERT!
 TARGET LOCKED! OPENING FIRE!
 TARGET IN SIGHT! COMMENCING INCINERATION!
 TARGET LOCKED! OPENING FIRE!
 Your monsters will be so crippled they won't be able to harm so much as a fly!
 TARGET LOCKED! OPENING FIRE!
 Time for my dinosaurs to get back into the game!
 TARGET IN SIGHT! COMMENCING INCINERATION!
 
 9.1 Team Up 
 Lucky you. You've got friends to help you out!
 Weevil had more success when he was using insects!
 Rex should stick to brute force. It suits him better!
 You are approaching a massive door. Jaden is standing in front of the door, obviously looking to challenge you!
 Now that you've defeated Jaden, he steps aside so you can open the door.
 
 Duel 
 Here goes something!
 Chill out, dude. This is far from over!
 As opponents go, you're definitely hard to get rid of!
 Get your game on!
 You better be ready, bro!
 Enough! Now I will destroy you utterly!
 Let's see if my new Earth deck will work as planned!
 No duel is over 'til the last card is played!
 With this deck, I'll control the game!
 I'm gonna put you in your place!
 
 9.2 War Room 
 Story 
 As the shade gets closer, you can make out its form. It's a man, and he promptly challenges you to a series of duel.
 You showed him that you're a formidable duelist! However, Kagemaru hasn't said his last word!
 After your victory, Kagemaru starts aging quickly. He is now a wizened old man. He has failed to attain immortality...
 
 Duel 
 If you made it to this room, you must be a fair duelist! Let's see what you can do!
 My name is Kagemaru. Don't be fooled by my youthful looks. I'm actually a master duelist!
 Have you ever heard of Immortals?
 I have the strength of youth and the wisdom of age!
 I need to defeat worthy opponents to honor the Channeler of Strength. I hope you're good enough!
 You're more skilled than I thought. Now, let's see how you deal with these Ninjas!
 These Fire monsters never disappoint me!
 Do you feel that breeze? The Wind monsters have come to take you away!
 The strength of the earth is not to be questioned!
 By the power oft he Light, I need to win this duel!
 Look at your feet. Water will soon have filled the room!
 I feel like this is my last chance. I have to give everything I have left!
 
 v e 
 Yu-Gi-Oh! BAM Gameplay 
 Rules 
 BAM Machine 
 Level 
 Arena 
 BAMgo 
 Booster Battle 
 Objectives 
 Storyline Rewards 
 Duel Stars Challenge 
 Items 
 Cards 
 Card List 
 Errata 
 Image Gallery 
 Series 1 
 Series 2 
 Side Series 
 Common 
 Rare 
 Ultra Rare 
 BAM Legend 
 Crafting 
 Friendship Card 
 Currency 
 Coins 
 Card Pieces 
 Duel Points 
 Energy 
 Other 
 Power-Ups 
 
 Booster Packs 
 Series 1 
 A Newcomer in Alba Litora 
 Dark Destruction 
 Legend of the Dragon 
 Sky Storm 
 Psychic Time Warp 
 Alba Litora's Elite 
 Series 2 
 Tropica City Dark Forces 
 Obscure Devastation 
 Root of Evil 
 Wings of Destiny 
 Immemorial Cataclysm 
 Live Duels 
 Blazing Wind 
 Test Packs 
 Legendary Pack 
 Novice Pack 
 Time-Limited Packs 
 Holiday Collection 
 BAM Legend All-Stars 
 
 Starter Decks 
 Series 1 
 Bestial Fury 
 Cyber Assault 
 Insect Swarm 
 Enchanted Fairies 
 Nightmarish Fiends 
 Zombie Horde 
 Dragon Master 
 Series 2 
 Gusto Tempest 
 Arena Deck 
 Competitive Arena Deck #1 
 Time-Limited Theme Deck 
 Eternal Zombies Deck 
 Hieratic Dragons Deck 
 Blackwing Deck 
 Photon Deck 
 Community Deck 
 Laval Deck 
 Lightray & Lightsworn Deck 
 The Fabled Deck 
 Naturia Bugs Deck 
 Shark Deck 
 Dinosaurs Deck 
 Psychic Deck 
 
 Maps 
 Alba Litora 
 Tropica City 
 Miscellaneous 
 Characters 
 Music 
 Story Transcript 
 2012 Events 
 2013 Events 
 2014 Events 
 
 
 
 
